Time - Plot 0	Amplitude - Plot 0	
0	0.00554221	
1	0.00619079	
2	0.00554221	
3	0.00619079	
4	0.00392078	
5	0.00521793	
6	0.0058665	
7	0.00554221	
8	0.00521793	
9	0.0058665	
10	0.00554221	
11	0.00521793	
12	0.0058665	
13	0.00521793	
14	0.0058665	
15	0.00554221	
16	0.00554221	
17	0.00554221	
18	0.00489364	
19	0.00748794	
20	0.0058665	
21	0.00554221	
22	0.00521793	
23	0.00456935	
24	0.00521793	
25	0.00521793	
26	0.0058665	
27	0.00619079	
28	0.00651508	
29	0.00392078	
30	0.00521793	
31	0.00456935	
32	0.00262363	
33	0.00651508	
34	0.00489364	
35	0.00651508	
36	0.00489364	
37	0.00521793	
38	0.00489364	
39	0.00521793	
40	0.00554221	
41	0.00554221	
42	0.00554221	
43	0.00683937	
44	0.00521793	
45	0.0058665	
46	0.00521793	
47	0.00521793	
48	0.0058665	
49	0.00521793	
50	0.0058665	
51	0.00489364	
52	0.0058665	
53	0.0058665	
54	0.00554221	
55	0.00489364	
56	0.00554221	
57	0.00554221	
58	0.00456935	
59	0.00489364	
60	0.0058665	
61	0.00554221	
62	0.00554221	
63	0.00554221	
64	0.00619079	
65	0.00651508	
66	0.00521793	
67	0.00521793	
68	0.00554221	
69	0.0058665	
70	0.00554221	
71	0.00554221	
72	0.00619079	
73	0.00554221	
74	0.00489364	
75	0.00489364	
76	0.00489364	
77	0.00554221	
78	0.00813652	
79	0.0058665	
80	0.00554221	
81	0.00554221	
82	0.00521793	
83	0.00554221	
84	0.00554221	
85	0.00554221	
86	0.0058665	
87	0.00489364	
88	0.00521793	
89	0.00554221	
90	0.00554221	
91	0.0058665	
92	0.0058665	
93	0.00781223	
94	0.00521793	
95	0.00392078	
96	0.00619079	
97	0.00521793	
98	0.00489364	
99	0.00521793	
100	0.0058665	
101	0.00619079	
102	0.00521793	
103	0.00619079	
104	0.00521793	
105	0.00489364	
106	0.0058665	
107	0.00521793	
108	0.0058665	
109	0.0058665	
110	0.00619079	
111	0.00392078	
112	0.0058665	
113	0.00554221	
114	0.00619079	
115	0.00521793	
116	0.00521793	
117	0.00619079	
118	0.0058665	
119	0.00521793	
120	0.0058665	
121	0.00521793	
122	0.00456935	
123	0.00521793	
124	0.00521793	
125	0.00521793	
126	0.00489364	
127	0.00521793	
128	0.0058665	
129	0.00521793	
130	0.0058665	
131	0.0058665	
132	0.00554221	
133	0.00554221	
134	0.0058665	
135	0.0058665	
136	0.00521793	
137	0.00456935	
138	0.0058665	
139	0.00554221	
140	0.00554221	
141	0.00489364	
142	0.00521793	
143	0.00521793	
144	0.00489364	
145	0.00554221	
146	0.00554221	
147	0.0058665	
148	0.00521793	
149	0.00554221	
150	0.00554221	
151	0.00489364	
152	0.00554221	
153	0.00521793	
154	0.00521793	
155	0.00619079	
156	0.00489364	
157	0.0058665	
158	0.00489364	
159	0.00456935	
160	0.00489364	
161	0.00619079	
162	0.00521793	
163	0.00554221	
164	0.00521793	
165	0.00619079	
166	0.00554221	
167	0.00619079	
168	0.00521793	
169	0.00489364	
170	0.00554221	
171	0.00489364	
172	0.0058665	
173	0.00683937	
174	0.00619079	
175	0.00489364	
176	0.00683937	
177	0.00521793	
178	0.00489364	
179	0.00521793	
180	0.00521793	
181	0.00456935	
182	0.00521793	
183	0.00521793	
184	0.00619079	
185	0.00456935	
186	0.00554221	
187	0.00424506	
188	0.0058665	
189	0.00456935	
190	0.00554221	
191	0.00521793	
192	0.0032722	
193	0.00521793	
194	0.00619079	
195	0.00554221	
196	0.0058665	
197	0.00489364	
198	0.00521793	
199	0.00554221	
200	0.0058665	
201	0.00554221	
202	0.00489364	
203	0.00554221	
204	0.00424506	
205	0.00554221	
206	0.00521793	
207	0.00521793	
208	0.00619079	
209	0.00554221	
210	0.00554221	
211	0.00489364	
212	0.00456935	
213	0.00521793	
214	0.00521793	
215	0.0058665	
216	0.0058665	
217	0.00521793	
218	0.00521793	
219	0.00521793	
220	0.00554221	
221	0.00554221	
222	0.00521793	
223	0.0058665	
224	0.00554221	
225	0.00521793	
226	0.00619079	
227	0.00489364	
228	0.00554221	
229	0.00489364	
230	0.00554221	
231	0.00521793	
232	0.00554221	
233	0.00521793	
234	0.00521793	
235	0.00554221	
236	0.00554221	
237	0.0058665	
238	0.00456935	
239	0.00716365	
240	0.0058665	
241	0.0058665	
242	0.0058665	
243	0.00554221	
244	0.0058665	
245	0.00619079	
246	0.0058665	
247	0.00489364	
248	0.00554221	
249	0.00554221	
250	0.00456935	
251	0.00554221	
252	0.0058665	
253	0.00554221	
254	0.00489364	
255	0.00554221	
256	0.0058665	
257	0.00554221	
258	0.00554221	
259	0.0058665	
260	0.0058665	
261	0.00489364	
262	0.00456935	
263	0.00521793	
264	0.00554221	
265	0.00554221	
266	0.0058665	
267	0.00619079	
268	0.0058665	
269	0.0058665	
270	0.00521793	
271	0.00521793	
272	0.0058665	
273	0.00521793	
274	0.00489364	
275	0.00554221	
276	0.0058665	
277	0.00683937	
278	0.00424506	
279	0.00392078	
280	0.00489364	
281	0.00521793	
282	0.00521793	
283	0.00294791	
284	0.0058665	
285	0.00489364	
286	0.00456935	
287	0.0058665	
288	0.00651508	
289	0.00554221	
290	0.00554221	
291	0.00554221	
292	0.00489364	
293	0.00554221	
294	0.00716365	
295	0.0058665	
296	0.00489364	
297	0.00619079	
298	0.0058665	
299	0.00392078	
300	0.0058665	
301	0.00554221	
302	0.00521793	
303	0.0058665	
304	0.00619079	
305	0.00554221	
306	0.00554221	
307	0.00748794	
308	0.00554221	
309	0.00554221	
310	0.0058665	
311	0.00554221	
312	0.00554221	
313	0.0058665	
314	0.0058665	
315	0.0058665	
316	0.00521793	
317	0.0058665	
318	0.00424506	
319	0.00521793	
320	0.00554221	
321	0.00521793	
322	0.00619079	
323	0.00554221	
324	0.00651508	
325	0.00521793	
326	0.00554221	
327	0.00521793	
328	0.00554221	
329	0.0058665	
330	0.00651508	
331	0.00489364	
332	0.00554221	
333	0.00554221	
334	0.00651508	
335	0.00554221	
336	0.00683937	
337	0.00554221	
338	0.00456935	
339	0.00294791	
340	0.0058665	
341	0.0058665	
342	0.00554221	
343	0.00651508	
344	0.00554221	
345	0.00554221	
346	0.00651508	
347	0.00619079	
348	0.0058665	
349	0.00554221	
350	0.00521793	
351	0.0058665	
352	0.0058665	
353	0.0058665	
354	0.00619079	
355	0.00489364	
356	0.00554221	
357	0.00521793	
358	0.00554221	
359	0.0058665	
360	0.00554221	
361	0.00554221	
362	0.00619079	
363	0.00554221	
364	0.00521793	
365	0.00554221	
366	0.00554221	
367	0.00489364	
368	0.00521793	
369	0.00554221	
370	0.0058665	
371	0.00489364	
372	0.00456935	
373	0.0058665	
374	0.00521793	
375	0.00554221	
376	0.0058665	
377	0.00619079	
378	0.00424506	
379	0.00521793	
380	0.0058665	
381	0.00521793	
382	0.00489364	
383	0.00619079	
384	0.0058665	
385	0.00521793	
386	0.00294791	
387	0.00554221	
388	0.00651508	
389	0.00619079	
390	0.00554221	
391	0.00521793	
392	0.00683937	
393	0.00619079	
394	0.00554221	
395	0.0058665	
396	0.00554221	
397	0.00619079	
398	0.0058665	
399	0.00554221	
400	0.00489364	
401	0.00392078	
402	0.00521793	
403	0.00554221	
404	0.00489364	
405	0.00554221	
406	0.00716365	
407	0.00521793	
408	0.00554221	
409	0.00489364	
410	0.00554221	
411	0.00489364	
412	0.00521793	
413	0.00683937	
414	0.00554221	
415	0.00554221	
416	0.00521793	
417	0.00554221	
418	0.00554221	
419	0.00554221	
420	0.00683937	
421	0.0058665	
422	0.00521793	
423	0.00489364	
424	0.0058665	
425	0.0058665	
426	0.00554221	
427	0.0058665	
428	0.00554221	
429	0.00359649	
430	0.0058665	
431	0.00521793	
432	0.00521793	
433	0.00489364	
434	0.00521793	
435	0.0058665	
436	0.0058665	
437	0.00489364	
438	0.00359649	
439	0.00619079	
440	0.00554221	
441	0.00456935	
442	0.00521793	
443	0.00554221	
444	0.00554221	
445	0.00521793	
446	0.00554221	
447	0.00521793	
448	0.00554221	
449	0.00619079	
450	0.00521793	
451	0.0058665	
452	0.00619079	
453	0.00554221	
454	0.00521793	
455	0.0058665	
456	0.00554221	
457	0.00424506	
458	0.00554221	
459	0.00554221	
460	0.0058665	
461	0.00554221	
462	0.00489364	
463	0.00521793	
464	0.00554221	
465	0.00424506	
466	0.00554221	
467	0.00554221	
468	0.00521793	
469	0.00554221	
470	0.00554221	
471	0.00489364	
472	0.00489364	
473	0.00521793	
474	0.00521793	
475	0.0058665	
476	0.00619079	
477	0.00521793	
478	0.00554221	
479	0.00683937	
480	0.00424506	
481	0.00554221	
482	0.00554221	
483	0.00554221	
484	0.0058665	
485	0.0058665	
486	0.00521793	
487	0.00554221	
488	0.0058665	
489	0.0058665	
490	0.0058665	
491	0.0058665	
492	0.0058665	
493	0.00554221	
494	0.00554221	
495	0.00554221	
496	0.00554221	
497	0.00521793	
498	0.00554221	
499	0.00554221	
500	0.00554221	
501	0.0058665	
502	0.0058665	
503	0.00554221	
504	0.00521793	
505	0.00554221	
506	0.00554221	
507	0.00521793	
508	0.00554221	
509	0.00554221	
510	0.00392078	
511	0.00489364	
512	0.0058665	
513	0.00521793	
514	0.00554221	
515	0.00456935	
516	0.0058665	
517	0.0058665	
518	0.00554221	
519	0.00456935	
520	0.00489364	
521	0.00554221	
522	0.00554221	
523	0.00521793	
524	0.00521793	
525	0.00554221	
526	0.00651508	
527	0.0058665	
528	0.00554221	
529	0.00489364	
530	0.00521793	
531	0.0058665	
532	0.00521793	
533	0.00424506	
534	0.0058665	
535	0.00521793	
536	0.00554221	
537	0.00554221	
538	0.00521793	
539	0.00521793	
540	0.0058665	
541	0.0058665	
542	0.00619079	
543	0.00521793	
544	0.00619079	
545	0.00554221	
546	0.00456935	
547	0.00554221	
548	0.00554221	
549	0.00521793	
550	0.00521793	
551	0.00521793	
552	0.0058665	
553	0.00521793	
554	0.0058665	
555	0.00619079	
556	0.00521793	
557	0.00554221	
558	0.00489364	
559	0.00521793	
560	0.00554221	
561	0.00521793	
562	0.0058665	
563	0.0058665	
564	0.0058665	
565	0.00554221	
566	0.00554221	
567	0.00424506	
568	0.00521793	
569	0.00521793	
570	0.00619079	
571	0.0058665	
572	0.0058665	
573	0.00521793	
574	0.0058665	
575	0.0058665	
576	0.00554221	
577	0.00554221	
578	0.00521793	
579	0.0058665	
580	0.00554221	
581	0.00554221	
582	0.00521793	
583	0.00554221	
584	0.00489364	
585	0.00554221	
586	0.00554221	
587	0.00619079	
588	0.00554221	
589	0.00489364	
590	0.00521793	
591	0.00554221	
592	0.0058665	
593	0.00554221	
594	0.00521793	
595	0.00521793	
596	0.00554221	
597	0.00554221	
598	0.00554221	
599	0.0058665	
600	0.00554221	
601	0.0058665	
602	0.00521793	
603	0.0058665	
604	0.0058665	
605	0.00683937	
606	0.00521793	
607	0.00521793	
608	0.00521793	
609	0.0058665	
610	0.00554221	
611	0.0058665	
612	0.00489364	
613	0.00521793	
614	0.00489364	
615	0.00424506	
616	0.00554221	
617	0.00489364	
618	0.00456935	
619	0.00456935	
620	0.00619079	
621	0.00619079	
622	0.00521793	
623	0.0058665	
624	0.00521793	
625	0.0058665	
626	0.00554221	
627	0.00521793	
628	0.00619079	
629	0.00521793	
630	0.0058665	
631	0.00521793	
632	0.00521793	
633	0.00489364	
634	0.00554221	
635	0.00554221	
636	0.00554221	
637	0.0058665	
638	0.00619079	
639	0.00521793	
640	0.00489364	
641	0.0058665	
642	0.00489364	
643	0.0058665	
644	0.0058665	
645	0.00683937	
646	0.00489364	
647	0.0058665	
648	0.0058665	
649	0.0058665	
650	0.00521793	
651	0.0058665	
652	0.00554221	
653	0.00554221	
654	0.00554221	
655	0.00554221	
656	0.00521793	
657	0.0058665	
658	0.00521793	
659	0.00521793	
660	0.0058665	
661	0.00521793	
662	0.00521793	
663	0.00554221	
664	0.00554221	
665	0.00521793	
666	0.00489364	
667	0.00521793	
668	0.00554221	
669	0.00554221	
670	0.00489364	
671	0.00554221	
672	0.00619079	
673	0.00489364	
674	0.00521793	
675	0.00554221	
676	0.00424506	
677	0.00619079	
678	0.00489364	
679	0.00489364	
680	0.00651508	
681	0.0058665	
682	0.00554221	
683	0.00521793	
684	0.00554221	
685	0.00554221	
686	0.00554221	
687	0.00521793	
688	0.00554221	
689	0.00521793	
690	0.00554221	
691	0.00554221	
692	0.00521793	
693	0.00554221	
694	0.00521793	
695	0.00521793	
696	0.00521793	
697	0.0058665	
698	0.0058665	
699	0.0058665	
700	0.00554221	
701	0.00619079	
702	0.00489364	
703	0.0058665	
704	0.0058665	
705	0.00554221	
706	0.00392078	
707	0.00521793	
708	0.00554221	
709	0.00521793	
710	0.00521793	
711	0.0058665	
712	0.00683937	
713	0.00554221	
714	0.00521793	
715	0.00521793	
716	0.00554221	
717	0.0058665	
718	0.00521793	
719	0.00521793	
720	0.0058665	
721	0.0058665	
722	0.00554221	
723	0.00456935	
724	0.00554221	
725	0.00554221	
726	0.00554221	
727	0.0058665	
728	0.0058665	
729	0.0058665	
730	0.00619079	
731	0.00554221	
732	0.0058665	
733	0.00489364	
734	0.00554221	
735	0.00521793	
736	0.0058665	
737	0.00521793	
738	0.00489364	
739	0.00554221	
740	0.00521793	
741	0.00554221	
742	0.00489364	
743	0.00456935	
744	0.00489364	
745	0.0058665	
746	0.0058665	
747	0.00554221	
748	0.00554221	
749	0.00554221	
750	0.00521793	
751	0.00554221	
752	0.00554221	
753	0.0058665	
754	0.00521793	
755	0.00521793	
756	0.00554221	
757	0.0058665	
758	0.00521793	
759	0.00651508	
760	0.00554221	
761	0.00521793	
762	0.00554221	
763	0.00554221	
764	0.00554221	
765	0.00619079	
766	0.0058665	
767	0.00521793	
768	0.0058665	
769	0.00554221	
770	0.00651508	
771	0.00521793	
772	0.00489364	
773	0.00521793	
774	0.00619079	
775	0.00489364	
776	0.00489364	
777	0.0058665	
778	0.00554221	
779	0.00554221	
