Time - Plot 0	Amplitude - Plot 0	
0	0.00521793	
1	0.00521793	
2	0.00521793	
3	0.00521793	
4	0.00392078	
5	0.00489364	
6	0.00456935	
7	0.00489364	
8	0.0058665	
9	0.00489364	
10	0.00489364	
11	0.00489364	
12	0.00554221	
13	0.00424506	
14	0.00554221	
15	0.00489364	
16	0.00521793	
17	0.00489364	
18	0.00521793	
19	0.00456935	
20	0.00456935	
21	0.00489364	
22	0.00521793	
23	0.00424506	
24	0.00424506	
25	0.00521793	
26	0.00554221	
27	0.00424506	
28	0.00489364	
29	0.00651508	
30	0.00489364	
31	0.00456935	
32	0.0058665	
33	0.00489364	
34	0.0058665	
35	0.00262363	
36	0.00521793	
37	0.00554221	
38	0.00392078	
39	0.00489364	
40	0.00392078	
41	0.00521793	
42	0.00521793	
43	0.00619079	
44	0.00521793	
45	0.00521793	
46	0.0058665	
47	0.00521793	
48	0.00521793	
49	0.00456935	
50	0.00521793	
51	0.00554221	
52	0.00456935	
53	0.00554221	
54	0.00489364	
55	0.00521793	
56	0.00521793	
57	0.00521793	
58	0.00489364	
59	0.00521793	
60	0.00489364	
61	0.0058665	
62	0.00521793	
63	0.00424506	
64	0.00489364	
65	0.00392078	
66	0.00521793	
67	0.00554221	
68	0.00489364	
69	0.00521793	
70	0.00456935	
71	0.00456935	
72	0.00554221	
73	0.00489364	
74	0.00489364	
75	0.00521793	
76	0.00456935	
77	0.00521793	
78	0.00554221	
79	0.00521793	
80	0.00521793	
81	0.00489364	
82	0.00456935	
83	0.00489364	
84	0.00424506	
85	0.00521793	
86	0.00554221	
87	0.00489364	
88	0.00489364	
89	0.00489364	
90	0.00619079	
91	0.00619079	
92	0.00392078	
93	0.00392078	
94	0.00392078	
95	0.00489364	
96	0.00554221	
97	0.00456935	
98	0.00554221	
99	0.00489364	
100	0.00489364	
101	0.0058665	
102	0.00456935	
103	0.00392078	
104	0.00456935	
105	0.00456935	
106	0.00521793	
107	0.00456935	
108	0.00554221	
109	0.00489364	
110	0.0058665	
111	0.0058665	
112	0.00521793	
113	0.00489364	
114	0.00521793	
115	0.00554221	
116	0.00554221	
117	0.00521793	
118	0.00489364	
119	0.00489364	
120	0.00521793	
121	0.00489364	
122	0.00489364	
123	0.00456935	
124	0.00456935	
125	0.00489364	
126	0.00554221	
127	0.00392078	
128	0.00521793	
129	0.00489364	
130	0.00489364	
131	0.00521793	
132	0.00521793	
133	0.00554221	
134	0.00521793	
135	0.00456935	
136	0.00456935	
137	0.00554221	
138	0.00489364	
139	0.00424506	
140	0.00489364	
141	0.00489364	
142	0.00424506	
143	0.00521793	
144	0.00554221	
145	0.00521793	
146	0.00489364	
147	0.00489364	
148	0.00521793	
149	0.00619079	
150	0.00489364	
151	0.00489364	
152	0.00456935	
153	0.0058665	
154	0.00489364	
155	0.00489364	
156	0.00424506	
157	0.00554221	
158	0.00521793	
159	0.00424506	
160	0.00554221	
161	0.00424506	
162	0.00521793	
163	0.00489364	
164	0.00456935	
165	0.00521793	
166	0.00521793	
167	0.00554221	
168	0.00554221	
169	0.00619079	
170	0.00554221	
171	0.00521793	
172	0.00554221	
173	0.00456935	
174	0.00456935	
175	0.00489364	
176	0.00392078	
177	0.00489364	
178	0.0058665	
179	0.00456935	
180	0.00619079	
181	0.00521793	
182	0.00521793	
183	0.00489364	
184	0.00521793	
185	0.00456935	
186	0.00554221	
187	0.00554221	
188	0.00489364	
189	0.00521793	
190	0.00521793	
191	0.00521793	
192	0.00554221	
193	0.00424506	
194	0.00554221	
195	0.00521793	
196	0.00554221	
197	0.00619079	
198	0.00456935	
199	0.00521793	
200	0.00521793	
201	0.00456935	
202	0.00424506	
203	0.00521793	
204	0.00456935	
205	0.00554221	
206	0.00489364	
207	0.00521793	
208	0.00456935	
209	0.00521793	
210	0.00554221	
211	0.00521793	
212	0.00489364	
213	0.00456935	
214	0.0058665	
215	0.00456935	
216	0.00456935	
217	0.00521793	
218	0.00489364	
219	0.00554221	
220	0.00521793	
221	0.00489364	
222	0.00521793	
223	0.00489364	
224	0.00489364	
225	0.00554221	
226	0.00489364	
227	0.00489364	
228	0.00489364	
229	0.00456935	
230	0.00521793	
231	0.00521793	
232	0.00489364	
233	0.00489364	
234	0.00489364	
235	0.00554221	
236	0.00554221	
237	0.0058665	
238	0.00456935	
239	0.00294791	
240	0.00521793	
241	0.00521793	
242	0.00456935	
243	0.00521793	
244	0.00489364	
245	0.00521793	
246	0.00554221	
247	0.00521793	
248	0.00489364	
249	0.00489364	
250	0.00489364	
251	0.00456935	
252	0.00456935	
253	0.00456935	
254	0.00424506	
255	0.00554221	
256	0.00489364	
257	0.00554221	
258	0.00554221	
259	0.00554221	
260	0.00521793	
261	0.00392078	
262	0.00489364	
263	0.0058665	
264	0.00521793	
265	0.00521793	
266	0.00554221	
267	0.00489364	
268	0.00424506	
269	0.00521793	
270	0.00554221	
271	0.00521793	
272	0.00619079	
273	0.00554221	
274	0.00521793	
275	0.00489364	
276	0.00456935	
277	0.00619079	
278	0.00651508	
279	0.00392078	
280	0.00489364	
281	0.00392078	
282	0.00521793	
283	0.0058665	
284	0.00554221	
285	0.00521793	
286	0.00651508	
287	0.00554221	
288	0.00554221	
289	0.0058665	
290	0.00456935	
291	0.00554221	
292	0.00424506	
293	0.00456935	
294	0.00521793	
295	0.00554221	
296	0.00521793	
297	0.00456935	
298	0.0058665	
299	0.00489364	
300	0.00392078	
301	0.00554221	
302	0.00619079	
303	0.0058665	
304	0.00554221	
305	0.00489364	
306	0.00521793	
307	0.00294791	
308	0.00521793	
309	0.00392078	
310	0.00424506	
311	0.00683937	
312	0.00489364	
313	0.00489364	
314	0.00619079	
315	0.00521793	
316	0.00489364	
317	0.00521793	
318	0.00424506	
319	0.00489364	
320	0.00489364	
321	0.00521793	
322	0.00489364	
323	0.00489364	
324	0.00554221	
325	0.00521793	
326	0.00456935	
327	0.00456935	
328	0.00554221	
329	0.00521793	
330	0.00554221	
331	0.00489364	
332	0.00489364	
333	0.00489364	
334	0.00489364	
335	0.00521793	
336	0.00619079	
337	0.00456935	
338	0.0058665	
339	0.00456935	
340	0.00489364	
341	0.0032722	
342	0.00456935	
343	0.00521793	
344	0.0058665	
345	0.00521793	
346	0.00489364	
347	0.00456935	
348	0.00456935	
349	0.00554221	
350	0.00489364	
351	0.00521793	
352	0.00554221	
353	0.00489364	
354	0.00456935	
355	0.00489364	
356	0.00456935	
357	0.00521793	
358	0.00489364	
359	0.00424506	
360	0.00521793	
361	0.00489364	
362	0.00456935	
363	0.00554221	
364	0.00521793	
365	0.00489364	
366	0.00489364	
367	0.00554221	
368	0.00456935	
369	0.00521793	
370	0.00456935	
371	0.00554221	
372	0.00489364	
373	0.00521793	
374	0.00521793	
375	0.00521793	
376	0.00456935	
377	0.0058665	
378	0.00521793	
379	0.00554221	
380	0.00521793	
381	0.00489364	
382	0.0058665	
383	0.00651508	
384	0.00554221	
385	0.00521793	
386	0.00619079	
387	0.00489364	
388	0.00521793	
389	0.00554221	
390	0.00489364	
391	0.00521793	
392	0.00489364	
393	0.00489364	
394	0.00489364	
395	0.00521793	
396	0.00521793	
397	0.00489364	
398	0.00554221	
399	0.0058665	
400	0.00489364	
401	0.00619079	
402	0.00521793	
403	0.00424506	
404	0.00392078	
405	0.00489364	
406	0.00456935	
407	0.00521793	
408	0.00521793	
409	0.00456935	
410	0.00554221	
411	0.00651508	
412	0.00489364	
413	0.00489364	
414	0.00456935	
415	0.00619079	
416	0.00489364	
417	0.00456935	
418	0.00554221	
419	0.0058665	
420	0.0032722	
421	0.00489364	
422	0.00554221	
423	0.0058665	
424	0.00521793	
425	0.00521793	
426	0.0058665	
427	0.00359649	
428	0.00521793	
429	0.00456935	
430	0.00456935	
431	0.00489364	
432	0.00489364	
433	0.00424506	
434	0.0058665	
435	0.00521793	
436	0.00521793	
437	0.00489364	
438	0.00424506	
439	0.00554221	
440	0.00521793	
441	0.00456935	
442	0.00489364	
443	0.00521793	
444	0.00521793	
445	0.0058665	
446	0.00456935	
447	0.00521793	
448	0.00521793	
449	0.00554221	
450	0.00489364	
451	0.0058665	
452	0.00424506	
453	0.00521793	
454	0.00521793	
455	0.00489364	
456	0.00456935	
457	0.00489364	
458	0.00489364	
459	0.00489364	
460	0.00619079	
461	0.00489364	
462	0.00392078	
463	0.00489364	
464	0.0058665	
465	0.00554221	
466	0.00521793	
467	0.00521793	
468	0.00554221	
469	0.00489364	
470	0.00489364	
471	0.00521793	
472	0.00554221	
473	0.00489364	
474	0.00554221	
475	0.00489364	
476	0.00456935	
477	0.00619079	
478	0.00554221	
479	0.00489364	
480	0.00424506	
481	0.00521793	
482	0.00489364	
483	0.00489364	
484	0.00489364	
485	0.00554221	
486	0.00489364	
487	0.00521793	
488	0.00456935	
489	0.00489364	
490	0.00424506	
491	0.00521793	
492	0.00554221	
493	0.00489364	
494	0.00554221	
495	0.00456935	
496	0.00489364	
497	0.00521793	
498	0.00554221	
499	0.00521793	
500	0.00521793	
501	0.00424506	
502	0.00521793	
503	0.00456935	
504	0.00489364	
505	0.00554221	
506	0.00554221	
507	0.00456935	
508	0.00392078	
509	0.00521793	
510	0.00521793	
511	0.00521793	
512	0.00554221	
513	0.00554221	
514	0.00521793	
515	0.00554221	
516	0.00489364	
517	0.00554221	
518	0.00619079	
519	0.0058665	
520	0.00489364	
521	0.00521793	
522	0.00489364	
523	0.00554221	
524	0.00489364	
525	0.00521793	
526	0.00456935	
527	0.00489364	
528	0.00521793	
529	0.00489364	
530	0.00521793	
531	0.00521793	
532	0.00456935	
533	0.00392078	
534	0.00521793	
535	0.0058665	
536	0.00456935	
537	0.0058665	
538	0.00489364	
539	0.00489364	
540	0.00521793	
541	0.00489364	
542	0.00489364	
543	0.00554221	
544	0.00489364	
545	0.00521793	
546	0.00521793	
547	0.00489364	
548	0.00521793	
549	0.00489364	
550	0.00521793	
551	0.00489364	
552	0.00489364	
553	0.00489364	
554	0.00521793	
555	0.00521793	
556	0.00359649	
557	0.00521793	
558	0.00521793	
559	0.00521793	
560	0.00489364	
561	0.0058665	
562	0.00456935	
563	0.00521793	
564	0.00489364	
565	0.00521793	
566	0.00489364	
567	0.0058665	
568	0.00521793	
569	0.00489364	
570	0.00521793	
571	0.00489364	
572	0.00489364	
573	0.00489364	
574	0.00489364	
575	0.00392078	
576	0.00489364	
577	0.00489364	
578	0.00489364	
579	0.00489364	
580	0.00489364	
581	0.00554221	
582	0.00489364	
583	0.00489364	
584	0.00619079	
585	0.00521793	
586	0.00554221	
587	0.0058665	
588	0.00489364	
589	0.00554221	
590	0.00521793	
591	0.00489364	
592	0.00489364	
593	0.00489364	
594	0.00489364	
595	0.00521793	
596	0.0058665	
597	0.00456935	
598	0.00521793	
599	0.00521793	
600	0.00456935	
601	0.00521793	
602	0.00424506	
603	0.00521793	
604	0.00521793	
605	0.00489364	
606	0.00554221	
607	0.00521793	
608	0.00554221	
609	0.00554221	
610	0.00521793	
611	0.00554221	
612	0.00456935	
613	0.00521793	
614	0.00424506	
615	0.00456935	
616	0.00424506	
617	0.00554221	
618	0.00489364	
619	0.00521793	
620	0.00554221	
621	0.00521793	
622	0.00554221	
623	0.00554221	
624	0.00489364	
625	0.00489364	
626	0.00489364	
627	0.00456935	
628	0.00521793	
629	0.00489364	
630	0.00554221	
631	0.00489364	
632	0.00489364	
633	0.00489364	
634	0.00489364	
635	0.00554221	
636	0.00521793	
637	0.00521793	
638	0.00456935	
639	0.00521793	
640	0.00619079	
641	0.00554221	
642	0.00489364	
643	0.00489364	
644	0.00489364	
645	0.00424506	
646	0.00489364	
647	0.00456935	
648	0.00424506	
649	0.0058665	
650	0.00554221	
651	0.00521793	
652	0.00489364	
653	0.00521793	
654	0.00489364	
655	0.00489364	
656	0.00456935	
657	0.00619079	
658	0.00521793	
659	0.00521793	
660	0.00521793	
661	0.00521793	
662	0.00489364	
663	0.00521793	
664	0.00489364	
665	0.00489364	
666	0.00554221	
667	0.00456935	
668	0.00456935	
669	0.00489364	
670	0.00392078	
671	0.00521793	
672	0.00521793	
673	0.00521793	
674	0.00554221	
675	0.00521793	
676	0.00554221	
677	0.00489364	
678	0.00456935	
679	0.00554221	
680	0.00456935	
681	0.00554221	
682	0.0058665	
683	0.00554221	
684	0.00554221	
685	0.00489364	
686	0.00489364	
687	0.00489364	
688	0.00456935	
689	0.00521793	
690	0.00521793	
691	0.00489364	
692	0.00521793	
693	0.00521793	
694	0.00521793	
695	0.00521793	
696	0.00521793	
697	0.00521793	
698	0.00521793	
699	0.00489364	
700	0.00521793	
701	0.00489364	
702	0.00521793	
703	0.00489364	
704	0.00456935	
705	0.00489364	
706	0.00424506	
707	0.00489364	
708	0.00456935	
709	0.00521793	
710	0.00489364	
711	0.00554221	
712	0.00489364	
713	0.00489364	
714	0.00521793	
715	0.0058665	
716	0.00521793	
717	0.00456935	
718	0.00359649	
719	0.00424506	
720	0.00521793	
721	0.00489364	
722	0.00489364	
723	0.00489364	
724	0.0058665	
725	0.00489364	
726	0.0058665	
727	0.00424506	
728	0.00521793	
729	0.00489364	
730	0.00521793	
731	0.00489364	
732	0.0058665	
733	0.00489364	
734	0.00456935	
735	0.0058665	
736	0.00424506	
737	0.00521793	
738	0.00489364	
739	0.00489364	
740	0.00521793	
741	0.00489364	
742	0.00521793	
743	0.00456935	
744	0.00554221	
745	0.00554221	
746	0.00456935	
747	0.00521793	
748	0.00521793	
749	0.0058665	
750	0.00489364	
751	0.00424506	
752	0.0058665	
753	0.00554221	
754	0.00456935	
755	0.00554221	
756	0.00489364	
757	0.00424506	
758	0.00424506	
759	0.00521793	
760	0.00489364	
761	0.00489364	
762	0.00424506	
763	0.00456935	
764	0.00489364	
765	0.00424506	
766	0.00521793	
767	0.00554221	
768	0.00392078	
769	0.00489364	
770	0.00489364	
771	0.0058665	
772	0.00456935	
773	0.00424506	
774	0.00521793	
775	0.00489364	
776	0.00521793	
777	0.00521793	
778	0.00489364	
779	0.00489364	
780	0.00521793	
781	0.00521793	
782	0.00554221	
783	0.00619079	
784	0.00456935	
785	0.00683937	
786	0.00521793	
787	0.00651508	
788	0.00521793	
789	0.00521793	
790	0.00554221	
791	0.00424506	
792	0.00619079	
793	0.00489364	
794	0.00489364	
795	0.00489364	
796	0.00489364	
797	0.00456935	
798	0.00456935	
799	0.00554221	
800	0.00456935	
801	0.00359649	
802	0.00521793	
803	0.00619079	
804	0.00489364	
805	0.00489364	
806	0.00489364	
807	0.00489364	
808	0.00489364	
809	0.00521793	
810	0.00489364	
811	0.00456935	
812	0.00489364	
813	0.00554221	
814	0.0058665	
815	0.00489364	
816	0.00521793	
817	0.00489364	
818	0.00521793	
819	0.00489364	
820	0.00554221	
821	0.00456935	
822	0.00456935	
823	0.00521793	
824	0.00521793	
825	0.00424506	
826	0.00521793	
827	0.00456935	
828	0.00554221	
829	0.00554221	
830	0.00521793	
831	0.00521793	
832	0.00521793	
833	0.00489364	
834	0.00521793	
835	0.0058665	
836	0.00456935	
837	0.00456935	
838	0.00489364	
839	0.00554221	
840	0.00489364	
841	0.00489364	
842	0.0058665	
843	0.00489364	
844	0.00521793	
845	0.0058665	
846	0.00554221	
847	0.00489364	
848	0.00489364	
849	0.00554221	
850	0.00554221	
851	0.00489364	
852	0.00554221	
853	0.00521793	
854	0.00521793	
855	0.00489364	
856	0.00521793	
857	0.00554221	
858	0.00489364	
859	0.00554221	
860	0.00521793	
861	0.00359649	
862	0.00554221	
863	0.00521793	
864	0.00554221	
865	0.00521793	
866	0.00521793	
867	0.00489364	
868	0.00489364	
869	0.00424506	
870	0.00456935	
871	0.00229934	
872	0.00489364	
873	0.00424506	
874	0.0032722	
875	0.00521793	
876	0.00521793	
877	0.00554221	
878	0.00294791	
879	0.00521793	
880	0.0032722	
881	0.00521793	
882	0.00489364	
883	0.00554221	
884	0.0058665	
885	0.00554221	
886	0.00489364	
887	0.00392078	
888	0.00521793	
889	0.00424506	
890	0.00489364	
891	0.00489364	
892	0.00489364	
893	0.00521793	
894	0.00197505	
895	0.00554221	
896	0.00489364	
897	0.00456935	
898	0.00456935	
899	0.00489364	
900	0.00424506	
901	0.00456935	
902	0.00489364	
903	0.00554221	
904	0.00489364	
905	0.00489364	
906	0.00489364	
907	0.00554221	
908	0.00489364	
909	0.00456935	
910	0.00489364	
911	0.0058665	
912	0.00489364	
913	0.00489364	
914	0.00554221	
915	0.00521793	
916	0.00489364	
917	0.00554221	
918	0.00521793	
919	0.00456935	
920	0.00489364	
921	0.00554221	
922	0.00489364	
923	0.0058665	
924	0.00554221	
925	0.00521793	
926	0.00521793	
927	0.00521793	
928	0.00456935	
929	0.00489364	
930	0.00489364	
931	0.00521793	
932	0.00456935	
933	0.00521793	
934	0.00521793	
935	0.00521793	
936	0.00521793	
937	0.00489364	
938	0.00521793	
939	0.00521793	
940	0.00456935	
941	0.00521793	
942	0.00619079	
943	0.00489364	
944	0.00521793	
945	0.00456935	
946	0.0058665	
947	0.00489364	
948	0.00489364	
949	0.00489364	
950	0.00554221	
951	0.00554221	
952	0.00521793	
953	0.00489364	
954	0.00489364	
955	0.00554221	
956	0.00554221	
957	0.00554221	
958	0.00521793	
959	0.00554221	
960	0.00489364	
961	0.00489364	
962	0.00521793	
963	0.00521793	
964	0.00554221	
965	0.00521793	
966	0.00521793	
967	0.00489364	
968	0.0058665	
969	0.00554221	
970	0.00489364	
971	0.00521793	
972	0.00489364	
973	0.00489364	
974	0.00489364	
975	0.00489364	
976	0.0032722	
977	0.00521793	
978	0.00456935	
979	0.00392078	
980	0.00521793	
981	0.00359649	
982	0.00489364	
983	0.00521793	
984	0.00554221	
985	0.00456935	
986	0.0058665	
987	0.00554221	
988	0.00456935	
989	0.00489364	
990	0.00424506	
991	0.00554221	
992	0.00489364	
993	0.00489364	
994	0.00521793	
995	0.00489364	
996	0.00521793	
997	0.00456935	
998	0.00521793	
999	0.00456935	
1000	0.00392078	
1001	0.00424506	
1002	0.00294791	
1003	0.00489364	
1004	0.00424506	
