366.000	0.005
356.000	0.007
346.000	0.006
336.000	0.005
326.000	0.006
316.000	0.007
306.000	0.007
296.000	0.007
286.000	0.007
276.000	0.006
266.000	0.007
256.000	0.007
246.000	0.007
236.000	0.007
226.000	0.009
216.000	0.010
206.000	0.014
196.000	0.022
186.000	0.037
176.000	0.068
166.000	0.102
156.000	0.151
146.000	0.192
136.000	0.216
126.000	0.234
116.000	0.247
106.000	0.260
96.000	0.271
86.000	0.285
76.000	0.296
66.000	0.306
56.000	0.318
46.000	0.336
36.000	0.347
26.000	0.356
16.000	0.373
6.000	0.382
-4.000	0.399
-14.000	0.413
-24.000	0.421
-34.000	0.428
-44.000	0.449
-54.000	0.443
-64.000	0.450
-74.000	0.434
-84.000	0.378
-94.000	0.288
-104.000	0.176
-114.000	0.079
-124.000	0.030
-134.000	0.016
-144.000	0.010
-154.000	0.009
-164.000	0.009
-174.000	0.007
-184.000	0.007
-194.000	0.007
-204.000	0.007
-214.000	0.005
-224.000	0.006
-234.000	0.007
-244.000	0.007
-254.000	0.007
-264.000	0.006
-274.000	0.006
-284.000	0.007
-294.000	0.006
-304.000	0.006
-314.000	0.006
-324.000	0.006
-334.000	0.006
-344.000	0.005
-354.000	0.006
-364.000	0.005
-374.000	0.006
