-2.00    -25.75   -0.3257
-1.60    -19.62   -0.2871
-1.20    -13.14   -0.2740
-0.80     -7.43   -0.2267
-0.40     -1.92   -0.1886
 0.00      3.30   -0.1541
 0.40      7.39   -0.0969
 0.80     11.67   -0.0840
 1.20     16.08   -0.0436
 1.60     21.17   -0.0026
 2.00     25.75   0.0156
 1.60     19.71   0.0080
 1.20     13.33   -0.0225
 0.80      7.52   -0.0653
 0.40      2.04   -0.0913
 0.00     -3.21   -0.1548
-0.40     -7.11   -0.1999
-0.80    -11.39   -0.2050
-1.20    -15.89   -0.2581
-1.60    -20.92   -0.2786
-2.00    -25.82   -0.3064
