Sourcefile	20230508 152842 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 15:44:11

Start Time	08.05.2023 15:38:14
End Time	08.05.2023 15:42:32


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:38:14

Mass [amu]	Ion Current [A]
7,47	-4,446086e-014
7,50	-5,045408e-014
7,53	-5,490078e-014
7,56	-5,773606e-014
7,59	-5,738704e-014
7,63	-5,192201e-014
7,66	-4,264151e-014
7,69	-3,448019e-014
7,72	-3,217200e-014
7,75	-3,596725e-014
7,78	-4,114072e-014
7,81	-4,331283e-014
7,84	-4,334995e-014
7,88	-4,406673e-014
7,91	-4,473728e-014
7,94	-4,304506e-014
7,97	-3,961139e-014
8,00	-3,692835e-014
8,03	-3,620535e-014
8,06	-3,707684e-014
8,09	-3,835565e-014
8,13	-3,876207e-014
8,16	-3,805659e-014
8,19	-3,701805e-014
8,22	-3,621421e-014
8,25	-3,565576e-014
8,28	-3,541411e-014
8,31	-3,580564e-014
8,34	-3,743491e-014
8,38	-4,117760e-014
8,41	-4,709842e-014
8,44	-5,347701e-014
8,47	-5,729245e-014
8,50	-5,605809e-014
8,53	-5,021104e-014
8,56	-4,309994e-014
8,59	-3,850006e-014
8,63	-3,849899e-014
8,66	-4,219076e-014
8,69	-4,669244e-014
8,72	-4,974444e-014
8,75	-5,054633e-014
8,78	-5,001161e-014
8,81	-4,977510e-014
8,84	-4,965800e-014
8,88	-4,813508e-014
8,91	-4,478698e-014
8,94	-4,092332e-014
8,97	-3,845260e-014
9,00	-3,805694e-014
9,03	-3,890630e-014
9,06	-4,055598e-014
9,09	-4,324126e-014
9,13	-4,597392e-014
9,16	-4,697691e-014
9,19	-4,637576e-014
9,22	-4,587556e-014
9,25	-4,557338e-014
9,28	-4,338905e-014
9,31	-3,835531e-014
9,34	-3,294580e-014
9,38	-3,030351e-014
9,41	-2,960325e-014
9,44	-2,733986e-014
9,47	-2,348244e-014
9,50	-2,192869e-014
9,53	-2,438406e-014
9,56	-2,860601e-014
9,59	-3,238792e-014
9,63	-3,515750e-014
9,66	-3,711586e-014
9,69	-3,844566e-014
9,72	-3,796114e-014
9,75	-3,429383e-014
9,78	-2,907952e-014
9,81	-2,555460e-014
9,84	-2,403765e-014
9,88	-2,213534e-014
9,91	-1,953317e-014
9,94	-1,919099e-014
9,97	-2,223495e-014
10,00	-2,541745e-014
10,03	-2,593319e-014
10,06	-2,507409e-014
10,09	-2,524845e-014
10,13	-2,641373e-014
10,16	-2,702669e-014
10,19	-2,653990e-014
10,22	-2,612244e-014
10,25	-2,737074e-014
10,28	-3,006638e-014
10,31	-3,206796e-014
10,34	-3,206131e-014
10,38	-3,126908e-014
10,41	-3,145873e-014
10,44	-3,203008e-014
10,47	-3,117763e-014
10,50	-2,955751e-014
10,53	-2,987100e-014
10,56	-3,251124e-014
10,59	-3,420484e-014
10,63	-3,193531e-014
10,66	-2,710810e-014
10,69	-2,442098e-014
10,72	-2,616013e-014
10,75	-2,957680e-014
10,78	-3,122913e-014
10,81	-3,128021e-014
10,84	-3,174278e-014
10,88	-3,314018e-014
10,91	-3,493350e-014
10,94	-3,699993e-014
10,97	-3,874286e-014
11,00	-3,890117e-014
11,03	-3,743944e-014
11,06	-3,558206e-014
11,09	-3,393882e-014
11,13	-3,249577e-014
11,16	-3,203701e-014
11,19	-3,329164e-014
11,22	-3,477487e-014
11,25	-3,427907e-014
11,28	-3,278128e-014
11,31	-3,377070e-014
11,34	-3,776332e-014
11,38	-4,079999e-014
11,41	-3,957073e-014
11,44	-3,515680e-014
11,47	-3,097370e-014
11,50	-2,837243e-014
11,53	-2,554718e-014
11,56	-2,104162e-014
11,59	-1,576739e-014
11,63	-1,041390e-014
11,66	-4,163106e-015
11,69	2,492730e-015
11,72	7,303964e-015
11,75	9,851207e-015
11,78	1,200611e-014
11,81	1,473756e-014
11,84	1,752952e-014
11,88	1,998311e-014
11,91	2,192192e-014
11,94	2,293141e-014
11,97	2,270760e-014
12,00	2,150978e-014
12,03	1,995018e-014
12,06	1,824162e-014
12,09	1,588271e-014
12,13	1,231298e-014
12,16	7,877748e-015
12,19	3,545123e-015
12,22	-7,406400e-016
12,25	-5,772925e-015
12,28	-1,034589e-014
12,31	-1,188863e-014
12,34	-1,040971e-014
12,38	-8,416191e-015
12,41	-7,753956e-015
12,44	-9,127203e-015
12,47	-1,346355e-014
12,50	-2,157926e-014
12,53	-3,166867e-014
12,56	-3,900867e-014
12,59	-4,072209e-014
12,63	-3,894078e-014
12,66	-3,723005e-014
12,69	-3,642130e-014
12,72	-3,546232e-014
12,75	-3,444204e-014
12,78	-3,519332e-014
12,81	-3,801515e-014
12,84	-3,903459e-014
12,88	-3,450964e-014
12,91	-2,660238e-014
12,94	-2,092599e-014
12,97	-2,031932e-014
13,00	-2,382165e-014
13,03	-2,893946e-014
13,06	-3,311577e-014
13,09	-3,483744e-014
13,13	-3,379187e-014
13,16	-3,042413e-014
13,19	-2,618670e-014
13,22	-2,300428e-014
13,25	-2,193822e-014
13,28	-2,254491e-014
13,31	-2,354742e-014
13,34	-2,491708e-014
13,38	-2,784564e-014
13,41	-3,144044e-014
13,44	-3,243360e-014
13,47	-2,951623e-014
13,50	-2,562196e-014
13,53	-2,484810e-014
13,56	-2,804383e-014
13,59	-3,220891e-014
13,63	-3,368065e-014
13,66	-3,114344e-014
13,69	-2,595889e-014
13,72	-2,083619e-014
