Sourcefile	20230508 155818 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 16:03:06

Start Time	08.05.2023 15:58:27
End Time	08.05.2023 16:02:53


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:58:27

Mass [amu]	Ion Current [A]
7,44	-1,364218e-013
7,47	-1,325064e-013
7,50	-1,261062e-013
7,53	-1,196810e-013
7,56	-1,158394e-013
7,59	-1,158788e-013
7,63	-1,176497e-013
7,66	-1,176868e-013
7,69	-1,154216e-013
7,72	-1,133932e-013
7,75	-1,142384e-013
7,78	-1,181694e-013
7,81	-1,226251e-013
7,84	-1,250791e-013
7,88	-1,259361e-013
7,91	-1,261654e-013
7,94	-1,247318e-013
7,97	-1,215863e-013
8,00	-1,186629e-013
8,03	-1,168203e-013
8,06	-1,152415e-013
8,09	-1,126372e-013
8,13	-1,084206e-013
8,16	-1,041017e-013
8,19	-1,024424e-013
8,22	-1,045009e-013
8,25	-1,084629e-013
8,28	-1,110951e-013
8,31	-1,100485e-013
8,34	-1,058543e-013
8,38	-1,020121e-013
8,41	-1,027944e-013
8,44	-1,091442e-013
8,47	-1,156255e-013
8,50	-1,152057e-013
8,53	-1,082234e-013
8,56	-1,021074e-013
8,59	-1,025257e-013
8,63	-1,084232e-013
8,66	-1,145990e-013
8,69	-1,176158e-013
8,72	-1,187899e-013
8,75	-1,203162e-013
8,78	-1,211954e-013
8,81	-1,198650e-013
8,84	-1,176795e-013
8,88	-1,173207e-013
8,91	-1,194732e-013
8,94	-1,222571e-013
8,97	-1,231142e-013
9,00	-1,205389e-013
9,03	-1,152258e-013
9,06	-1,106602e-013
9,09	-1,109719e-013
9,13	-1,162930e-013
9,16	-1,215777e-013
9,19	-1,223270e-013
9,22	-1,197935e-013
9,25	-1,181449e-013
9,28	-1,186059e-013
9,31	-1,188431e-013
9,34	-1,166977e-013
9,38	-1,127302e-013
9,41	-1,095514e-013
9,44	-1,094801e-013
9,47	-1,128048e-013
9,50	-1,176062e-013
9,53	-1,211785e-013
9,56	-1,226608e-013
9,59	-1,232698e-013
9,63	-1,232349e-013
9,66	-1,210458e-013
9,69	-1,156813e-013
9,72	-1,080641e-013
9,75	-1,014081e-013
9,78	-9,980876e-014
9,81	-1,047162e-013
9,84	-1,131105e-013
9,88	-1,198263e-013
9,91	-1,212045e-013
9,94	-1,174336e-013
9,97	-1,122210e-013
10,00	-1,095790e-013
10,03	-1,112615e-013
10,06	-1,164172e-013
10,09	-1,219113e-013
10,13	-1,237379e-013
10,16	-1,202172e-013
10,19	-1,142213e-013
10,22	-1,107558e-013
10,25	-1,123568e-013
10,28	-1,177349e-013
10,31	-1,237091e-013
10,34	-1,273809e-013
10,38	-1,272712e-013
10,41	-1,236874e-013
10,44	-1,181626e-013
10,47	-1,123415e-013
10,50	-1,077592e-013
10,53	-1,059264e-013
10,56	-1,071552e-013
10,59	-1,101237e-013
10,63	-1,133878e-013
10,66	-1,159919e-013
10,69	-1,172671e-013
10,72	-1,174429e-013
10,75	-1,167715e-013
10,78	-1,145003e-013
10,81	-1,109067e-013
10,84	-1,083892e-013
10,88	-1,088980e-013
10,91	-1,112921e-013
10,94	-1,122270e-013
10,97	-1,100978e-013
11,00	-1,070821e-013
11,03	-1,067757e-013
11,06	-1,107923e-013
11,09	-1,176621e-013
11,13	-1,236908e-013
11,16	-1,254771e-013
11,19	-1,234737e-013
11,22	-1,217141e-013
11,25	-1,227372e-013
11,28	-1,245517e-013
11,31	-1,236427e-013
11,34	-1,193944e-013
11,38	-1,141376e-013
11,41	-1,101995e-013
11,44	-1,082057e-013
11,47	-1,075961e-013
11,50	-1,071820e-013
11,53	-1,048454e-013
11,56	-9,860046e-014
11,59	-8,851279e-014
11,63	-7,708456e-014
11,66	-6,806785e-014
11,69	-6,364854e-014
11,72	-6,192007e-014
11,75	-5,997470e-014
11,78	-5,891376e-014
11,81	-6,127734e-014
11,84	-6,566438e-014
11,88	-6,781689e-014
11,91	-6,495736e-014
11,94	-5,804852e-014
11,97	-5,111627e-014
12,00	-4,755105e-014
12,03	-4,747223e-014
12,06	-4,973705e-014
12,09	-5,387030e-014
12,13	-5,889615e-014
12,16	-6,277167e-014
12,19	-6,391808e-014
12,22	-6,289212e-014
12,25	-6,244482e-014
12,28	-6,479894e-014
12,31	-6,854205e-014
12,34	-7,064693e-014
12,38	-7,087108e-014
12,41	-7,149407e-014
12,44	-7,466694e-014
12,47	-8,105957e-014
12,50	-8,938840e-014
12,53	-9,748966e-014
12,56	-1,041673e-013
12,59	-1,087847e-013
12,63	-1,100080e-013
12,66	-1,074555e-013
12,69	-1,031234e-013
12,72	-9,979436e-014
12,75	-9,934318e-014
12,78	-1,014696e-013
12,81	-1,037903e-013
12,84	-1,041574e-013
12,88	-1,020965e-013
12,91	-9,842937e-014
12,94	-9,482999e-014
12,97	-9,354756e-014
13,00	-9,553108e-014
13,03	-9,870261e-014
13,06	-9,980098e-014
13,09	-9,761106e-014
13,13	-9,410097e-014
13,16	-9,258046e-014
13,19	-9,473206e-014
13,22	-9,899457e-014
13,25	-1,014727e-013
13,28	-1,002749e-013
13,31	-9,820947e-014
13,34	-9,864424e-014
13,38	-1,007832e-013
13,41	-1,020458e-013
13,44	-1,030324e-013
13,47	-1,059793e-013
13,50	-1,100513e-013
13,53	-1,117168e-013
13,56	-1,085631e-013
13,59	-1,014054e-013
13,63	-9,300857e-014
13,66	-8,643662e-014
13,69	-8,491466e-014
13,72	-9,000937e-014
13,75	-9,915454e-014
13,78	-1,068810e-013
13,81	-1,087858e-013
13,84	-1,043462e-013
13,88	-9,697579e-014
13,91	-9,170334e-014
13,94	-9,123263e-014
13,97	-9,327534e-014
14,00	-9,308039e-014
14,03	-8,905197e-014
14,06	-8,391612e-014
14,09	-8,062653e-014
14,13	-7,957810e-014
14,16	-7,964288e-014
14,19	-8,001117e-014
14,22	-8,041905e-014
14,25	-8,070407e-014
14,28	-8,089101e-014
14,31	-8,176666e-014
14,34	-8,515630e-014
14,38	-9,188246e-014
14,41	-9,994218e-014
14,44	-1,066805e-013
14,47	-1,105826e-013
14,50	-1,106127e-013
14,53	-1,077156e-013
14,56	-1,054644e-013
14,59	-1,058126e-013
14,63	-1,070214e-013
14,66	-1,070919e-013
14,69	-1,063708e-013
14,72	-1,066250e-013
14,75	-1,090054e-013
14,78	-1,126838e-013
14,81	-1,152148e-013
14,84	-1,142337e-013
14,88	-1,093093e-013
14,91	-1,029893e-013
14,94	-9,849712e-014
14,97	-9,641156e-014
15,00	-9,572373e-014
15,03	-9,575701e-014
15,06	-9,555404e-014
15,09	-9,445866e-014
15,13	-9,307513e-014
15,16	-9,230662e-014
15,19	-9,321709e-014
15,22	-9,682302e-014
15,25	-1,020409e-013
15,28	-1,062309e-013
15,31	-1,079090e-013
15,34	-1,068623e-013
15,38	-1,038978e-013
15,41	-1,010967e-013
15,44	-9,985582e-014
15,47	-9,908302e-014
15,50	-9,624841e-014
15,53	-8,934556e-014
15,56	-7,794565e-014
15,59	-6,404760e-014
15,63	-5,138750e-014
15,66	-4,273880e-014
15,69	-3,826819e-014
15,72	-3,617376e-014
15,75	-3,486035e-014
15,78	-3,451501e-014
15,81	-3,597603e-014
15,84	-3,807377e-014
15,88	-3,734098e-014
15,91	-3,137654e-014
15,94	-2,199494e-014
15,97	-1,503975e-014
16,00	-1,562537e-014
16,03	-2,245809e-014
16,06	-2,988184e-014
16,09	-3,424775e-014
16,13	-3,544281e-014
16,16	-3,592018e-014
16,19	-3,885773e-014
16,22	-4,434730e-014
16,25	-4,872410e-014
16,28	-4,874586e-014
16,31	-4,570089e-014
16,34	-4,483610e-014
16,38	-4,968246e-014
16,41	-5,834854e-014
16,44	-6,752097e-014
16,47	-7,661448e-014
16,50	-8,534730e-014
16,53	-9,152869e-014
16,56	-9,290045e-014
16,59	-8,877986e-014
16,63	-8,099699e-014
16,66	-7,337176e-014
16,69	-6,843578e-014
16,72	-6,617881e-014
16,75	-6,559553e-014
16,78	-6,522532e-014
16,81	-6,404108e-014
16,84	-6,283020e-014
16,88	-6,300285e-014
16,91	-6,428776e-014
16,94	-6,488578e-014
16,97	-6,399673e-014
17,00	-6,282663e-014
17,03	-6,261195e-014
17,06	-6,296925e-014
17,09	-6,278835e-014
17,13	-6,199087e-014
17,16	-6,146848e-014
